from,to,from_station,to_station,total_trips,distance,orig_pop,dest_jobs
238,258,Alperton,Heathrow Terminals 123,2,18349.57303,3084,5169
238,259,Alperton,Heathrow Terminal 4,10,18130.75543,3084,1637
238,171,Alperton,Southwark,0,17539.19543,3084,19579
238,153,Alperton,Bermondsey,0,20624.54263,3084,9228
238,137,Alperton,Canada Water,0,21562.62359,3084,29777
238,157,Alperton,North Greenwich,0,25533.63346,3084,23861
238,156,Alperton,Canary Wharf,0,23737.1715,3084,68117
238,158,Alperton,Canning Town,0,26058.65168,3084,27715
238,73,Alperton,Aldgate,0,20267.73803,3084,12048
238,95,Alperton,Aldgate East,0,20380.15862,3084,14650
238,201,Alperton,Balham,0,21943.66097,3084,12061
238,97,Alperton,Barking,0,31610.14842,3084,19367
238,103,Alperton,Becontree,0,34818.2039,3084,3113
238,204,Alperton,Belsize Park,0,20975.63289,3084,4595
238,31,Alperton,Bethnal Green,0,21815.51918,3084,11472
238,207,Alperton,Borough,0,19254.91127,3084,5743
238,105,Alperton,Bow Road,0,23956.06211,3084,4289
238,106,Alperton,Bromley-By-Bow,0,24874.60939,3084,3580
238,159,Alperton,Canons Park,0,18467.5271,3084,2997
238,173,Alperton,Chalfont & Latimer,0,28022.27296,3084,929
238,205,Alperton,Chalk Farm,0,19969.76489,3084,4313
238,174,Alperton,Chesham,0,33424.0797,3084,1216
238,175,Alperton,Chorleywood,0,24702.70358,3084,421
238,220,Alperton,Clapham North,0,18934.14718,3084,5526
238,202,Alperton,Clapham South,0,20830.72244,3084,7106
238,222,Alperton,Colliers Wood,0,25244.81288,3084,5260
238,177,Alperton,Croxley,8,20173.99745,3084,1377
238,113,Alperton,Dagenham East,0,37529.99307,3084,2791
238,104,Alperton,Dagenham Heathway,0,36207.58866,3084,5725
238,162,Alperton,Dollis Hill,0,16420.10772,3084,3410
238,180,Alperton,Eastcote,56,8123.609794,3084,2888
238,98,Alperton,East Ham,0,29584.11643,3084,12514
238,75,Alperton,Edgware Road (C),0,15141.33674,3084,6710
238,114,Alperton,Elm Park,0,39840.20242,3084,3226
238,87,Alperton,Euston Square,0,17593.49788,3084,15583
238,29,Alperton,Fairlop,0,37626.42839,3084,1124
238,226,Alperton,Finchley Central,0,27732.44291,3084,6502
238,165,Alperton,Finchley Road,4,19236.1654,3084,8755
238,209,Alperton,Golders Green,0,24232.29166,3084,6945
238,126,Alperton,Gunnersbury,0,8238.805533,3084,1901
238,51,Alperton,Hainault,0,38418.72256,3084,3513
238,206,Alperton,Hampstead,0,22168.59965,3084,3902
238,199,Alperton,Highgate,0,23533.80751,3084,4931
